university,count
Rutgers University,8
Universidad Politécnica de Madrid,4
National University of Singapore,4
University of Calgary,4
"University of California, Riverside",4
West Virginia University,4
Shandong University,4
Simon Fraser University,4
University of Illinois Urbana-Champaign,4
National Tsing Hua University,3
Georgia Tech,3
University of Connecticut,3
CWI,3
Aalto University,3
Johannes Kepler University,3
George Mason University,3
Peking University,3
Singapore Management University,3
University of Brasília,2
InterDigital Canada Ltée,2
Federal University of Sao Paulo,2
Leibniz University Hannover,2
University of Cincinnati,2
BBC R&D,2
University of Helsinki,2
RIKEN,2
University of Duisburg-Essen,2
UFF,2
Washington University at Saint Louis,2
Shanghai Jiao Tong University,2
Hasselt University - tUL - EDM,2
Alpen-Adria-Universität Klagenfurt,2
"The Chinese University of Hong Kong, Shenzhen",2
Synamedia,2
Y. K. Erinc,2
Texas State University,1
University of Texas at Dallas,1
unaffiliated,1
Nokia TECSS,1
Nokia,1
Nokia XR Lab,1
Adaptive streaming of 3D content for web-based virtual reality: an open-source prototype including several metrics and strategies,1
Red Hat and Karlstad University,1
Karlstad University,1
University of Oslo,1
AT&T Labs - Research,1
Ademola Ikusan,1
UCL,1
Tsinghua University,1
Mario Di Francesco,1
Nokia Technologies,1
University of Duisburg Essen,1
CEFET,1
Brunel,1
Fluminense Federal University,1
AT&T Labs -- Research,1
Worcester Polytechnic Institute,1
"Worcester Polytechnic Institute, USA",1
University of Science and Technology of China,1
Ateme S.A.,1
Hasselt University - tUL - Flanders Make - EDM,1
Fraunhofer FOKUS,1
Friedrich-Alexander-Universität Erlangen-Nürnberg,1
Bitmovin,1
University of Essex,1
Alpen-Adria Universität Klagenfurt,1
Fraunhofer HHI,1
Sungkyunkwan University (SKKU),1
Nanjing University,1
University of Illinois at Urbana-Champaign,1
The University of Mississippi,1
Beijing University of Posts and Telecommunications,1
AI2Robotics,1
Inria,1
Ozyegin University,1
Aalto University and University of Helsinki,1
UIUC,1
Miami University,1
D. Rincón,1
G. Jalabert,1
F. Principi,1
Mukulika Maity,1
University of the Arts London,1
Danger Detection and Cloud-Based Vocal Assistance System for Visually Impaired Users Using Meta Quest 3,1
Grégory Jalabert,1
